run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
3,141,CEVR,scram,103,0.347,0,35.612,2568,257.3327,259.9159,259.966,260.8659,0.1,scram_8.png,0.00210140453084807
3,142,CEVR,scram,109,0.35009,0,38.0503,2601,260.9826,263.5991,263.6491,264.549,2.1,scram_13.png,0.00183876130077103
3,143,CEVR,scram,100,0.35489,0,35.5804,2651,266.6656,269.3322,269.3822,270.2821,7.1,scram_22.png,0.0018114397647828
3,144,CEVR,scram,103,0.35813,0,37,2684,277.3985,280.0984,280.1484,281.0483,2.1,scram_16.png,0.0017150508552947
3,145,CEVR,scram,116,0.32118,0,37.3212,2268,283.1649,285.4481,285.4981,286.3981,0.1,scram_10.png,0.000165123600589323
3,146,CEVR,scram,107,0.347,0,37,2568,286.5315,289.1146,289.1646,290.0646,0.1,scram_23.png,0.000554761014169844
3,147,CEVR,scram,108,0.35325,0,38.0597,2634,290.1979,292.8478,292.8978,293.7978,0.1,scram_4.png,0.000613515978071955
3,148,CEVR,scram,79,0.4441,79,35.2236,3384,293.9145,297.3143,297.3643,298.2642,2.1,scram_21.png,0.00280970521729671
3,149,CEVR,scram,83,0.44168,83,36.5583,3368,300.3808,303.764,303.814,304.7139,0.1,scram_24.png,0.00128371333146675
3,150,CEVR,scram,85,0.44918,0,38.3476,3417,304.8306,308.2638,308.3138,309.2137,12.1,scram_6.png,0.00370049680759807
4,151,DEV,happy,70,0.75591,70,53.0499,534,8.013,8.563,8.613,9.5129,0.1,happy_18.png,0.0267142236206185
4,152,DEV,happy,70,0.77277,70,53.8087,468,9.6297,10.1129,10.163,11.0629,2.1,happy_7.png,0.0257454512145037
4,153,DEV,happy,71,0.78158,71,55.7538,434,13.1795,13.6294,13.6794,14.5794,2.1,happy_10.png,0.0249289071390743
4,154,DEV,happy,70,0.75997,70,53.2357,518,16.696,17.2293,17.2793,18.1792,1.1,happy_3.png,0.0203155298319088
4,155,DEV,happy,76,0.75591,76,57.5853,534,19.2959,19.8458,19.8958,20.7958,8.1,happy_5.png,0.0190226814789639
4,156,DEV,happy,67,0.77277,67,51.4903,468,28.9121,29.3954,29.4454,30.3454,0.1,happy_25.png,0.0189897480737107
4,157,DEV,happy,68,0.76866,68,52.0894,484,30.4621,30.962,31.012,31.9119,0.1,happy_21.png,0.0180247048543253
4,158,DEV,happy,68,0.79466,68,53.9447,384,32.062,32.4619,32.5119,33.4119,3.1,happy_6.png,0.0191458189255291
4,159,DEV,happy,76,0.7391,0,55.9562,601,36.5284,37.145,37.1951,38.095,0.1,happy_24.png,0.0156477383058343
4,160,DEV,happy,72,0.79019,72,56.9253,401,38.2117,38.6284,38.6784,39.5783,3.1,happy_12.png,0.0230066781429096
4,161,DEV,happy,70,0.75161,70,52.8512,551,42.6948,43.2614,43.3115,44.2114,8.1,happy_15.png,0.0171091051396884
4,162,DEV,happy,75,0.76866,75,57.47,484,52.3277,52.8277,52.8777,53.7776,0.1,happy_16.png,0.0181607509409174
4,163,DEV,happy,75,0.79466,75,59.5073,384,53.8943,54.2943,54.3443,55.2443,0.1,happy_23.png,0.0213966323115076
4,164,DEV,happy,72,0.79466,72,57.1233,384,55.3609,55.7609,55.8109,56.7109,4.1,happy_22.png,0.0210929429199635
4,165,DEV,happy,69,0.8079,69,56.0778,334,60.8274,61.1773,61.2274,62.1273,0.1,happy_17.png,0.0203740239361708
4,166,DEV,happy,72,0.79019,72,56.9253,401,62.244,62.6606,62.7106,63.6105,0.1,happy_8.png,0.0201301249525475
4,167,DEV,happy,66,0.79466,66,52.3554,384,63.7273,64.1272,64.1772,65.0772,0.1,happy_9.png,0.0200001017495175
4,168,DEV,happy,67,0.79888,0,53.3135,368,65.2105,65.5938,65.6438,66.5437,0.1,happy_11.png,0.0181911682937049
4,169,DEV,happy,71,0.79466,71,56.3287,384,66.6771,67.0771,67.1271,68.027,1.1,happy_19.png,0.0180742877585328
4,170,DEV,happy,72,0.79888,0,57.3079,368,69.1603,69.5436,69.5937,70.4936,2.1,happy_1.png,0.0166071698954468
4,171,DEV,happy,68,0.81217,68,55.4353,318,72.6268,72.9601,73.0102,73.9101,6.1,happy_20.png,0.0157035530115807
4,172,DEV,happy,75,0.79888,75,59.7045,368,80.0598,80.4431,80.4932,81.3931,2.1,happy_2.png,0.0166083900165081
4,173,DEV,happy,74,0.79466,74,58.7126,384,83.5264,83.9263,83.9763,84.8763,5.1,happy_13.png,0.0165788483826986
4,174,DEV,happy,70,0.76431,70,53.4319,501,90.0094,90.526,90.576,91.476,8.1,happy_4.png,0.0144153419447953
4,175,DEV,happy,72,0.69085,72,49.8372,801,99.609,100.4256,100.4756,101.3755,2.1,happy_14.png,0.0102297440006276
4,176,DEV,happy,66,0.77717,66,51.669,451,103.5088,103.9754,104.0255,104.9254,5.1,happy_18.png,0.014012702288305
4,177,DEV,happy,68,0.76866,68,52.0894,484,110.0585,110.5585,110.6085,111.5084,5.1,happy_13.png,0.0133126543504802
4,178,DEV,happy,72,0.76431,72,54.9605,501,116.6416,117.1582,117.2082,118.1081,0.1,happy_25.png,0.0129051187168585
4,179,DEV,happy,72,0.66786,72,47.9419,901,118.2248,119.1414,119.1915,120.0914,1.1,happy_23.png,0.00812832282753125
4,180,DEV,happy,68,0.79888,68,54.1123,368,121.2247,121.608,121.658,122.558,0.1,happy_6.png,0.0127637985464219
4,181,DEV,happy,75,0.78158,0,58.8801,434,122.6913,123.1413,123.1913,124.0912,6.1,happy_7.png,0.0125854233009706
4,182,DEV,happy,69,0.75591,69,52.294,534,130.2244,130.7743,130.8243,131.7242,3.1,happy_14.png,0.0119761027951902
4,183,DEV,happy,67,0.77277,67,51.4903,468,134.8574,135.3407,135.3907,136.2907,3.1,happy_4.png,0.0116767727740435
4,184,DEV,happy,74,0.79466,0,58.7126,384,139.4239,139.8238,139.8739,140.7738,6.1,happy_9.png,0.0113368215921116
4,185,DEV,happy,68,0.80338,0,54.2883,351,146.9069,147.2735,147.3236,148.2235,1.1,happy_12.png,0.00968769191223057
4,186,DEV,happy,65,0.78158,65,51.0644,434,149.3568,149.8067,149.8568,150.7567,1.1,happy_5.png,0.0102476801116593
4,187,DEV,happy,69,0.77277,69,53.0359,468,151.89,152.3733,152.4233,153.3233,1.1,happy_2.png,0.00992584119708429
4,188,DEV,happy,67,0.79466,67,53.15,384,154.4566,154.8565,154.9065,155.8065,1.1,happy_3.png,0.0100046944822748
