run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
7,328,CEV,scram,44,0.79743,0,35.4051,718,151.9937,152.727,152.777,153.677,10.1,scram_14.png,4.22271362726384e-07,6.47680287538867e-06
7,329,CEV,scram,62,0.60943,62,37.6094,2034,163.8265,165.8764,165.9264,166.8263,0.1,scram_13.png,0.0043703499177009,0.00587964386878652
7,330,CEV,scram,52,0.69514,52,36.3049,1434,166.9763,168.4262,168.4763,169.3762,7.1,scram_11.png,1.93951697405502e-05,5.05347574833213e-05
7,331,CEV,scram,0,0,0,0,4000,176.5259,180.5423,180.5924,181.4923,0.1,scram_24.png,7.36732128044141e-22,1.45706001082547e-20
7,332,CEV,scram,64,0.54514,0,34.8194,2484,181.6423,184.1422,184.1922,185.0921,1.1,scram_21.png,0.00943019619685545,0.00783112153793667
7,333,CEV,scram,44,0.76886,44,33.9246,918,186.2421,187.1753,187.2254,188.1253,2.1,scram_3.png,5.13066801475342e-05,0.000213857069781598
7,334,CEV,scram,61,0.61886,61,37.6189,1968,190.2752,192.2584,192.3085,193.2084,5.1,scram_10.png,0.00988660384034701,0.0102031382449441
7,335,CEV,scram,90,0.39514,0,35.4194,3534,198.3582,201.908,201.958,202.858,4.1,scram_9.png,2.01822603991489e-15,2.00841508306871e-14
7,336,CEV,scram,71,0.53314,0,38.0663,2568,207.0078,209.591,209.641,210.5409,2.1,scram_2.png,0.000784002407619156,0.000493970715871658
7,337,CEV,scram,44,0.76886,44,33.9246,918,212.6909,213.6241,213.6741,214.5741,0.1,scram_5.png,0.000837561796691028,0.00179989646484519
7,338,CEV,scram,58,0.68086,0,39.7234,1534,214.7241,216.274,216.324,217.2239,0.1,scram_15.png,0.00252350611097084,0.00194642345032553
7,339,CEV,scram,51,0.78314,0,40.1326,818,217.374,218.2072,218.2572,219.1572,0.1,scram_17.png,7.44671711284852e-05,0.000264658450113519
7,340,CEV,scram,57,0.65457,0,37,1718,219.3072,221.0404,221.0904,221.9904,4.1,scram_1.png,0.00184730869609486,0.0019151549945683
7,341,CEV,scram,68,0.53329,68,36.4667,2567,226.1402,228.7234,228.7734,229.6733,0.1,scram_8.png,0.00730275670919303,0.00755043346852452
